BER,n,k,t,Bit Errors
1e-06,7,4,1,2
1e-06,15,11,1,2
1e-06,15,7,2,2
1e-06,15,5,3,2
1e-06,31,26,1,2
1e-06,31,11,4,2
1e-06,63,57,1,2
1e-06,63,39,5,2
1e-06,127,120,1,2
1e-06,127,50,6,2
1.6237767391887209e-06,7,4,1,2
1.6237767391887209e-06,15,11,1,2
1.6237767391887209e-06,15,7,2,2
1.6237767391887209e-06,15,5,3,2
1.6237767391887209e-06,31,26,1,2
1.6237767391887209e-06,31,11,4,2
1.6237767391887209e-06,63,57,1,2
1.6237767391887209e-06,63,39,5,2
1.6237767391887209e-06,127,120,1,2
1.6237767391887209e-06,127,50,6,2
2.6366508987303555e-06,7,4,1,2
2.6366508987303555e-06,15,11,1,2
2.6366508987303555e-06,15,7,2,2
2.6366508987303555e-06,15,5,3,2
2.6366508987303555e-06,31,26,1,2
2.6366508987303555e-06,31,11,4,2
2.6366508987303555e-06,63,57,1,2
2.6366508987303555e-06,63,39,5,2
2.6366508987303555e-06,127,120,1,2
2.6366508987303555e-06,127,50,6,2
4.281332398719396e-06,7,4,1,2
4.281332398719396e-06,15,11,1,2
4.281332398719396e-06,15,7,2,2
4.281332398719396e-06,15,5,3,2
4.281332398719396e-06,31,26,1,2
4.281332398719396e-06,31,11,4,2
4.281332398719396e-06,63,57,1,2
4.281332398719396e-06,63,39,5,2
4.281332398719396e-06,127,120,1,2
4.281332398719396e-06,127,50,6,2
6.951927961775606e-06,7,4,1,2
6.951927961775606e-06,15,11,1,2
6.951927961775606e-06,15,7,2,2
6.951927961775606e-06,15,5,3,2
6.951927961775606e-06,31,26,1,2
6.951927961775606e-06,31,11,4,2
6.951927961775606e-06,63,57,1,2
6.951927961775606e-06,63,39,5,2
6.951927961775606e-06,127,120,1,2
6.951927961775606e-06,127,50,6,2
1.1288378916846883e-05,7,4,1,2
1.1288378916846883e-05,15,11,1,2
1.1288378916846883e-05,15,7,2,2
1.1288378916846883e-05,15,5,3,2
1.1288378916846883e-05,31,26,1,2
1.1288378916846883e-05,31,11,4,2
1.1288378916846883e-05,63,57,1,2
1.1288378916846883e-05,63,39,5,2
1.1288378916846883e-05,127,120,1,2
1.1288378916846883e-05,127,50,6,2
1.8329807108324375e-05,7,4,1,2
1.8329807108324375e-05,15,11,1,2
1.8329807108324375e-05,15,7,2,2
1.8329807108324375e-05,15,5,3,2
1.8329807108324375e-05,31,26,1,2
1.8329807108324375e-05,31,11,4,2
1.8329807108324375e-05,63,57,1,2
1.8329807108324375e-05,63,39,5,2
1.8329807108324375e-05,127,120,1,2
1.8329807108324375e-05,127,50,6,2
2.9763514416313192e-05,7,4,1,2
2.9763514416313192e-05,15,11,1,2
2.9763514416313192e-05,15,7,2,2
2.9763514416313192e-05,15,5,3,2
2.9763514416313192e-05,31,26,1,2
2.9763514416313192e-05,31,11,4,2
2.9763514416313192e-05,63,57,1,2
2.9763514416313192e-05,63,39,5,2
2.9763514416313192e-05,127,120,1,2
2.9763514416313192e-05,127,50,6,2
4.8329302385717524e-05,7,4,1,2
4.8329302385717524e-05,15,11,1,2
4.8329302385717524e-05,15,7,2,2
4.8329302385717524e-05,15,5,3,2
4.8329302385717524e-05,31,26,1,2
4.8329302385717524e-05,31,11,4,2
4.8329302385717524e-05,63,57,1,2
4.8329302385717524e-05,63,39,5,2
4.8329302385717524e-05,127,120,1,2
4.8329302385717524e-05,127,50,6,2
7.847599703514606e-05,7,4,1,2
7.847599703514606e-05,15,11,1,2
7.847599703514606e-05,15,7,2,2
7.847599703514606e-05,15,5,3,2
7.847599703514606e-05,31,26,1,2
7.847599703514606e-05,31,11,4,2
7.847599703514606e-05,63,57,1,2
7.847599703514606e-05,63,39,5,2
7.847599703514606e-05,127,120,1,2
7.847599703514606e-05,127,50,6,2
0.00012742749857031334,7,4,1,2
0.00012742749857031334,15,11,1,2
0.00012742749857031334,15,7,2,2
0.00012742749857031334,15,5,3,2
0.00012742749857031334,31,26,1,2
0.00012742749857031334,31,11,4,2
0.00012742749857031334,63,57,1,2
0.00012742749857031334,63,39,5,2
0.00012742749857031334,127,120,1,2
0.00012742749857031334,127,50,6,2
0.00020691380811147902,7,4,1,2
0.00020691380811147902,15,11,1,2
0.00020691380811147902,15,7,2,2
0.00020691380811147902,15,5,3,2
0.00020691380811147902,31,26,1,2
0.00020691380811147902,31,11,4,2
0.00020691380811147902,63,57,1,2
0.00020691380811147902,63,39,5,2
0.00020691380811147902,127,120,1,2
0.00020691380811147902,127,50,6,2
0.0003359818286283781,7,4,1,2
0.0003359818286283781,15,11,1,2
0.0003359818286283781,15,7,2,2
0.0003359818286283781,15,5,3,2
0.0003359818286283781,31,26,1,2
0.0003359818286283781,31,11,4,2
0.0003359818286283781,63,57,1,2
0.0003359818286283781,63,39,5,2
0.0003359818286283781,127,120,1,2
0.0003359818286283781,127,50,6,2
0.0005455594781168515,7,4,1,2
0.0005455594781168515,15,11,1,2
0.0005455594781168515,15,7,2,2
0.0005455594781168515,15,5,3,2
0.0005455594781168515,31,26,1,2
0.0005455594781168515,31,11,4,2
0.0005455594781168515,63,57,1,2
0.0005455594781168515,63,39,5,2
0.0005455594781168515,127,120,1,2
0.0005455594781168515,127,50,6,2
0.0008858667904100823,7,4,1,2
0.0008858667904100823,15,11,1,2
0.0008858667904100823,15,7,2,2
0.0008858667904100823,15,5,3,2
0.0008858667904100823,31,26,1,2
0.0008858667904100823,31,11,4,2
0.0008858667904100823,63,57,1,2
0.0008858667904100823,63,39,5,2
0.0008858667904100823,127,120,1,2
0.0008858667904100823,127,50,6,2
0.0014384498882876629,7,4,1,2
0.0014384498882876629,15,11,1,2
0.0014384498882876629,15,7,2,2
0.0014384498882876629,15,5,3,2
0.0014384498882876629,31,26,1,2
0.0014384498882876629,31,11,4,2
0.0014384498882876629,63,57,1,2
0.0014384498882876629,63,39,5,2
0.0014384498882876629,127,120,1,2
0.0014384498882876629,127,50,6,2
0.002335721469090121,7,4,1,2
0.002335721469090121,15,11,1,2
0.002335721469090121,15,7,2,2
0.002335721469090121,15,5,3,2
0.002335721469090121,31,26,1,2
0.002335721469090121,31,11,4,2
0.002335721469090121,63,57,1,2
0.002335721469090121,63,39,5,2
0.002335721469090121,127,120,1,2
0.002335721469090121,127,50,6,2
0.003792690190732246,7,4,1,2
0.003792690190732246,15,11,1,2
0.003792690190732246,15,7,2,2
0.003792690190732246,15,5,3,2
0.003792690190732246,31,26,1,2
0.003792690190732246,31,11,4,2
0.003792690190732246,63,57,1,2
0.003792690190732246,63,39,5,2
0.003792690190732246,127,120,1,2
0.003792690190732246,127,50,6,2
0.00615848211066026,7,4,1,2
0.00615848211066026,15,11,1,2
0.00615848211066026,15,7,2,2
0.00615848211066026,15,5,3,2
0.00615848211066026,31,26,1,2
0.00615848211066026,31,11,4,2
0.00615848211066026,63,57,1,2
0.00615848211066026,63,39,5,2
0.00615848211066026,127,120,1,2
0.00615848211066026,127,50,6,2
0.01,7,4,1,2
0.01,15,11,1,2
0.01,15,7,2,2
0.01,15,5,3,2
0.01,31,26,1,2
0.01,31,11,4,2
0.01,63,57,1,2
0.01,63,39,5,2
0.01,127,120,1,4
0.01,127,50,6,2
